Timestamp, CPU Usage (%), Memory Usage (%), Disk Usage (%)
1686256846, 31.7, 96.1, 77.1
1686256852, 16.6, 96.0, 77.1
1686256858, 9.9, 95.9, 77.1
1686256864, 6.7, 95.7, 77.1
1686256870, 10.2, 95.6, 77.1
1686256876, 20.8, 96.3, 77.1
1686256882, 7.8, 96.1, 77.1
1686256888, 18.2, 95.7, 77.1
1686256894, 15.6, 95.8, 77.1
1686256900, 29.0, 95.8, 77.1
1686256906, 15.4, 96.3, 77.1
1686256912, 15.6, 96.1, 77.1
1686256918, 6.8, 96.0, 77.1
1686256924, 17.4, 96.1, 77.1
1686256930, 39.7, 96.3, 77.1
1686256936, 4.0, 95.9, 77.1
1686256942, 17.3, 96.1, 77.1
1686256948, 9.4, 95.9, 77.1
1686256954, 20.3, 96.2, 77.1
1686256960, 14.7, 95.5, 77.5
1686256966, 53.8, 96.1, 77.5
1686256972, 28.1, 95.9, 77.5
1686256978, 14.7, 96.2, 77.5
1686256984, 12.0, 96.1, 77.5
1686256990, 16.0, 96.0, 77.5
1686256996, 7.8, 96.2, 77.5
1686257002, 17.1, 96.0, 77.5
1686257008, 11.8, 96.2, 77.5
1686257014, 8.0, 96.1, 77.5
1686257020, 17.0, 96.0, 77.5
1686257026, 10.6, 95.8, 77.5
1686257032, 14.0, 95.7, 77.5
1686257038, 12.3, 96.1, 77.5
1686257044, 50.6, 96.3, 77.5
1686257050, 21.0, 96.0, 77.5
1686257056, 19.4, 96.1, 77.5
1686257062, 73.3, 96.1, 77.5
1686257068, 22.1, 96.0, 77.5
1686257074, 22.8, 95.5, 77.5
1686257080, 25.6, 96.0, 77.5
1686257086, 5.2, 96.0, 77.5
1686257092, 11.6, 96.0, 77.5
1686257098, 5.4, 96.0, 77.5
1686257104, 8.8, 96.0, 77.5
1686257110, 41.3, 96.2, 77.5
1686257116, 17.9, 95.9, 77.5
1686257122, 55.7, 96.2, 77.5
1686257128, 3.5, 96.0, 77.5
1686257134, 3.5, 96.1, 77.5
1686257140, 16.6, 95.9, 77.5
1686257146, 16.6, 96.2, 77.5
1686257152, 49.6, 96.3, 77.5
1686257158, 11.1, 96.1, 77.5
1686257164, 30.6, 96.0, 77.5
1686257171, 27.7, 95.7, 77.5
1686257177, 4.1, 95.7, 77.5
1686257183, 7.1, 95.5, 77.5
1686257189, 9.7, 95.7, 77.5
1686257195, 11.3, 95.8, 77.5
1686257201, 15.2, 95.5, 77.5
1686257207, 22.4, 96.3, 77.5
1686257213, 10.7, 95.7, 77.5
1686257219, 9.9, 96.0, 77.5
1686257225, 4.4, 95.8, 77.5
1686257231, 45.5, 96.2, 77.5
1686257237, 8.2, 96.0, 77.5
1686257243, 17.3, 96.2, 77.5
1686257249, 26.2, 95.9, 77.5
1686257255, 6.1, 96.2, 77.5
1686257261, 8.6, 96.1, 77.5
1686257267, 3.2, 96.0, 77.5
1686257273, 54.0, 96.0, 77.5
1686257279, 8.2, 95.9, 77.5
1686257285, 5.8, 95.8, 77.5
1686257291, 16.7, 95.7, 77.5
1686257297, 38.2, 96.1, 77.5
1686257303, 28.7, 95.7, 77.5
1686257309, 11.7, 95.6, 77.5
1686257315, 3.0, 95.8, 77.5
1686257321, 12.5, 95.3, 77.5
1686257327, 4.0, 95.4, 77.5
1686257333, 5.0, 95.3, 77.5
1686257339, 32.7, 96.2, 77.5
1686257345, 9.4, 96.0, 77.5
1686257351, 10.7, 95.6, 77.5
1686257357, 20.2, 96.1, 77.5
1686257363, 8.0, 95.6, 77.5
1686257369, 12.6, 95.9, 77.5
1686257375, 18.8, 96.0, 77.5
1686257381, 25.1, 95.6, 77.5
1686257387, 18.6, 95.7, 77.5
1686257393, 7.3, 95.3, 77.5
1686257399, 14.4, 96.0, 77.5
1686257405, 4.4, 96.0, 77.5
1686257411, 44.4, 96.2, 77.5
1686257417, 23.2, 96.1, 77.5
1686257423, 9.8, 95.9, 77.5
1686257450, 4.6, 96.1, 77.5
1686257456, 17.5, 96.0, 77.5
1686257462, 15.6, 95.7, 77.5
1686258316, 22.3, 96.1, 77.5
1686258322, 21.3, 95.9, 77.5
1686258328, 34.0, 96.0, 77.5
1686259186, 36.8, 96.1, 77.5
1686260064, 16.1, 95.9, 77.5
1686260927, 15.6, 95.9, 77.5
1686261773, 15.2, 95.8, 77.5
1686261779, 24.2, 95.9, 77.5
1686262645, 24.8, 95.9, 76.8
1686263505, 18.1, 95.9, 76.8
1686264371, 62.8, 96.2, 76.8
1686265231, 16.0, 96.0, 76.8
1686265237, 25.0, 96.0, 76.8
1686266101, 22.9, 95.9, 76.8
1686266984, 28.8, 96.0, 76.8
1686266990, 28.7, 96.0, 76.8
1686267844, 29.8, 95.9, 76.8
1686268702, 5.2, 95.9, 76.8
1686268709, 40.6, 96.1, 76.8
1686269557, 17.5, 96.1, 76.8
1686269563, 27.7, 95.6, 76.8
1686270423, 3.6, 95.4, 76.8
1686271291, 33.6, 95.7, 76.8
1686271297, 38.8, 95.8, 76.8
1686272156, 31.7, 95.6, 76.8
1686273026, 18.9, 95.8, 76.8
1686273883, 18.1, 95.7, 76.8
1686274751, 9.3, 95.9, 76.8
1686274757, 36.3, 95.4, 76.8
1686275625, 28.5, 96.1, 76.8
1686276498, 25.3, 95.8, 76.8
1686277344, 43.0, 95.9, 76.8
1686278210, 33.9, 96.0, 76.8
1686278216, 19.6, 95.6, 76.8
1686279075, 10.3, 96.1, 76.8
1686279941, 20.3, 96.1, 76.8
1686279947, 20.6, 96.0, 76.8
1686280812, 41.0, 96.1, 76.8
1686281684, 40.9, 95.8, 76.8
1686281690, 38.5, 96.1, 76.8
1686282546, 27.0, 96.0, 76.8
1686283422, 31.3, 95.8, 76.8
1686284283, 5.9, 96.0, 76.8
1686285131, 18.1, 96.0, 76.8
1686285137, 15.4, 95.9, 76.8
1686286003, 26.0, 95.8, 76.8
1686286864, 31.0, 96.0, 76.8
1686287731, 24.8, 96.1, 76.8
1686287894, 29.3, 96.0, 76.8
1686287900, 35.3, 95.7, 76.8
1686288596, 21.6, 96.2, 76.8
1686289458, 38.3, 96.0, 76.8
1686289464, 3.7, 95.9, 76.8
1686290342, 6.5, 96.0, 76.8
1686291213, 21.9, 96.0, 76.8
1686292057, 33.9, 95.9, 76.8
1686292916, 30.0, 95.8, 76.8
1686292922, 5.5, 95.9, 76.8
1686293784, 12.1, 96.1, 76.8
1686294652, 4.3, 96.1, 76.8
1686294658, 9.3, 96.0, 76.8
1686295514, 4.2, 95.9, 76.8
1686296388, 16.7, 95.9, 76.8
1686297243, 44.2, 95.8, 76.8
1686298125, 33.3, 95.9, 76.8
1686298131, 15.9, 95.8, 76.8
1686298982, 5.2, 96.0, 76.8
1686299836, 37.0, 96.1, 76.8
1686299842, 16.8, 96.0, 76.8
1686300038, 22.7, 96.2, 76.8
